t,y,y_diff
0.007437530989712457,-1256,-2.0
0.007458364409851708,-1210,46.0
0.007479197829990959,-1202,8.0
0.007500031250130209,-1242,-40.0
0.00752086467026946,-1302,-60.0
0.00754169809040871,-1288,14.0
0.007562531510547961,-1235,53.0
0.007583364930687212,-1290,-55.0
0.007604198350826462,-1339,-49.0
0.007625031770965712,-1205,134.0
0.007645865191104963,-1048,157.0
0.007666698611244214,-1004,44.0
0.007687532031383464,-946,58.0
0.007708365451522715,-846,100.0
0.007729198871661965,-763,83.0
0.0077500322918012165,-646,117.0
0.007770865711940467,-522,124.0
0.007791699132079717,-495,27.0
0.007812532552218967,-526,-31.0
0.007833365972358218,-513,13.0
0.00785419939249747,-422,91.0
0.007875032812636719,-308,114.0
0.00789586623277597,-286,22.0
0.007916699652915221,-327,-41.0
0.00793753307305447,-268,59.0
0.007958366493193722,-180,88.0
0.007979199913332973,-289,-109.0
0.008000033333472222,-527,-238.0
0.008020866753611473,-627,-100.0
0.008041700173750724,-559,68.0
0.008062533593889976,-509,50.0
0.008083367014029225,-584,-75.0
0.008104200434168476,-732,-148.0
0.008125033854307727,-868,-136.0
0.008145867274446977,-959,-91.0
0.008166700694586228,-1004,-45.0
0.008187534114725479,-1064,-60.0
0.008208367534864728,-1184,-120.0
0.00822920095500398,-1241,-57.0
0.00825003437514323,-1133,108.0
0.00827086779528248,-1009,124.0
0.008291701215421731,-1014,-5.0
0.008312534635560982,-1058,-44.0
0.008333368055700232,-1022,36.0
0.008354201475839483,-877,145.0
0.008375034895978734,-649,228.0
0.008395868316117983,-449,200.0
0.008416701736257234,-335,114.0
0.008437535156396486,-210,125.0
0.008458368576535737,-45,165.0
0.008479201996674986,73,118.0
0.008500035416814237,159,86.0
0.008520868836953488,286,127.0
0.008541702257092738,422,136.0
0.008562535677231989,503,81.0
0.00858336909737124,543,40.0
0.00860420251751049,581,38.0
0.00862503593764974,578,-3.0
0.008645869357788992,496,-82.0
0.008666702777928241,420,-76.0
0.008687536198067492,416,-4.0
0.008708369618206743,407,-9.0
0.008729203038345993,416,9.0
0.008750036458485244,559,143.0
0.008770869878624495,763,204.0
0.008791703298763744,919,156.0
0.008812536718902995,1045,126.0
0.008833370139042247,1080,35.0
0.008854203559181498,996,-84.0
0.008875036979320747,931,-65.0
0.008895870399459998,901,-30.0
0.00891670381959925,867,-34.0
0.008937537239738499,964,97.0
0.00895837065987775,1133,169.0
0.008979204080017001,1138,5.0
0.00900003750015625,1087,-51.0
0.009020870920295502,1140,53.0
0.009041704340434753,1114,-26.0
0.009062537760574002,957,-157.0
0.009083371180713253,877,-80.0
0.009104204600852504,877,0.0
0.009125038020991754,855,-22.0
0.009145871441131005,858,3.0
0.009166704861270256,884,26.0
0.009187538281409505,868,-16.0
0.009208371701548757,844,-24.0
0.009229205121688008,886,42.0
0.009250038541827259,1021,135.0
0.009270871961966508,1160,139.0
0.00929170538210576,1162,2.0
0.00931253880224501,1081,-81.0
0.00933337222238426,1067,-14.0
0.009354205642523511,1055,-12.0
0.009375039062662762,944,-111.0
0.009395872482802011,807,-137.0
0.009416705902941263,697,-110.0
0.009437539323080514,615,-82.0
0.009458372743219763,617,2.0
0.009479206163359014,648,31.0
0.009500039583498265,572,-76.0
0.009520873003637515,464,-108.0
0.009541706423776766,509,45.0
0.009562539843916017,692,183.0
0.009583373264055266,859,167.0
0.009604206684194518,926,67.0
0.009625040104333769,921,-5.0
0.00964587352447302,892,-29.0
0.00966670694461227,866,-26.0
0.00968754036475152,846,-20.0
0.009708373784890771,817,-29.0
0.009729207205030021,745,-72.0
0.009750040625169272,631,-114.0
0.009770874045308523,525,-106.0
0.009791707465447773,447,-78.0
0.009812540885587024,374,-73.0
0.009833374305726275,320,-54.0
0.009854207725865524,323,3.0
0.009875041146004775,356,33.0
0.009895874566144026,362,6.0
0.009916707986283276,370,8.0
0.009937541406422527,409,39.0
0.009958374826561778,435,26.0
0.009979208246701027,499,64.0
0.010000041666840279,670,171.0
0.01002087508697953,793,123.0
0.01004170850711878,761,-32.0
0.01006254192725803,790,29.0
0.010083375347397281,954,164.0
0.010104208767536533,999,45.0
0.010125042187675782,870,-129.0
0.010145875607815033,783,-87.0
0.010166709027954284,815,32.0
0.010187542448093534,888,73.0
0.010208375868232785,876,-12.0
0.010229209288372036,733,-143.0
0.010250042708511285,660,-73.0
0.010270876128650536,758,98.0
0.010291709548789787,803,45.0
0.010312542968929037,779,-24.0
0.010333376389068288,915,136.0
0.01035420980920754,1101,186.0
0.010375043229346789,1158,57.0
0.01039587664948604,1187,29.0
0.01041671006962529,1111,-76.0
0.01043754348976454,802,-309.0
0.010458376909903791,568,-234.0
0.010479210330043042,606,38.0
0.010500043750182294,602,-4.0
0.010520877170321543,394,-208.0
0.010541710590460794,196,-198.0
0.010562544010600045,166,-30.0
0.010583377430739295,300,134.0
0.010604210850878546,480,180.0
0.010625044271017797,548,68.0
0.010645877691157046,552,4.0
0.010666711111296297,648,96.0
0.010687544531435549,769,121.0
0.010708377951574798,785,16.0
0.010729211371714049,788,3.0
0.0107500447918533,921,133.0
0.01077087821199255,1135,214.0
0.0107917116321318,1275,140.0
0.010812545052271052,1321,46.0
0.010833378472410301,1407,86.0
0.010854211892549552,1581,174.0
0.010875045312688804,1769,188.0
0.010895878732828055,1921,152.0
0.010916712152967304,1961,40.0
0.010937545573106555,1811,-150.0
0.010958378993245806,1604,-207.0
0.010979212413385056,1538,-66.0
0.011000045833524307,1591,53.0
0.011020879253663558,1641,50.0
0.011041712673802807,1632,-9.0
0.011062546093942058,1552,-80.0
0.01108337951408131,1481,-71.0
0.011104212934220559,1545,64.0
0.01112504635435981,1692,147.0
0.011145879774499061,1742,50.0
0.01116671319463831,1664,-78.0
0.011187546614777562,1598,-66.0
0.011208380034916813,1599,1.0
0.011229213455056062,1580,-19.0
0.011250046875195313,1561,-19.0
0.011270880295334565,1703,142.0
0.011291713715473816,1994,291.0
0.011312547135613065,2253,259.0
0.011333380555752316,2387,134.0
0.011354213975891567,2361,-26.0
0.011375047396030817,2178,-183.0
0.011395880816170068,2037,-141.0
0.011416714236309319,2046,9.0
0.011437547656448568,1988,-58.0
0.01145838107658782,1763,-225.0
0.01147921449672707,1566,-197.0
0.01150004791686632,1488,-78.0
0.011520881337005571,1486,-2.0
0.011541714757144822,1547,61.0
0.011562548177284072,1559,12.0
0.011583381597423323,1441,-118.0
0.011604215017562574,1310,-131.0
0.011625048437701823,1202,-108.0
0.011645881857841075,1047,-155.0
0.011666715277980326,977,-70.0
0.011687548698119575,1130,153.0
0.011708382118258826,1361,231.0
0.011729215538398077,1479,118.0
0.011750048958537328,1433,-46.0
0.011770882378676578,1267,-166.0
0.011791715798815829,1134,-133.0
0.01181254921895508,1140,6.0
0.01183338263909433,1192,52.0
0.01185421605923358,1211,19.0
0.011875049479372832,1230,19.0
0.011895882899512081,1199,-31.0
0.011916716319651332,1090,-109.0
0.011937549739790583,1054,-36.0
0.011958383159929833,1140,86.0
0.011979216580069084,1202,62.0
0.012000050000208335,1195,-7.0
0.012020883420347584,1217,22.0
0.012041716840486836,1275,58.0
0.012062550260626087,1325,50.0
0.012083383680765336,1384,59.0
0.012104217100904587,1440,56.0
0.012125050521043838,1454,14.0
0.01214588394118309,1441,-13.0
0.012166717361322339,1393,-48.0
0.01218755078146159,1242,-151.0
0.012208384201600841,1032,-210.0
0.01222921762174009,913,-119.0
0.012250051041879342,922,9.0
0.012270884462018593,985,63.0
0.012291717882157842,1094,109.0
0.012312551302297093,1224,130.0
0.012333384722436344,1211,-13.0
0.012354218142575594,991,-220.0
0.012375051562714845,757,-234.0
0.012395884982854096,619,-138.0
0.012416718402993345,441,-178.0
0.012437551823132597,188,-253.0
0.012458385243271848,34,-154.0
0.012479218663411097,39,5.0
0.012500052083550348,140,101.0
0.0125208855036896,318,178.0
0.01254171892382885,457,139.0
0.0125625523439681,378,-79.0
0.012583385764107351,192,-186.0
0.012604219184246602,139,-53.0
0.012625052604385852,137,-2.0
0.012645886024525103,2,-135.0
0.012666719444664354,-195,-197.0
0.012687552864803603,-358,-163.0
0.012708386284942854,-536,-178.0
0.012729219705082105,-723,-187.0
0.012750053125221355,-891,-168.0
0.012770886545360606,-1077,-186.0
0.012791719965499857,-1205,-128.0
0.012812553385639107,-1152,53.0
0.012833386805778358,-1035,117.0
0.012854220225917609,-1036,-1.0
0.012875053646056858,-1089,-53.0
0.01289588706619611,-1084,5.0
0.01291672048633536,-1082,2.0
0.012937553906474612,-1111,-29.0
0.012958387326613861,-1098,13.0
0.012979220746753112,-1041,57.0
0.013000054166892363,-1016,25.0
0.013020887587031613,-1106,-90.0
0.013041721007170864,-1336,-230.0
0.013062554427310115,-1569,-233.0
0.013083387847449364,-1658,-89.0
0.013104221267588615,-1710,-52.0
0.013125054687727867,-1857,-147.0
0.013145888107867116,-1962,-105.0
0.013166721528006367,-1908,54.0
0.013187554948145618,-1815,93.0
0.013208388368284868,-1768,47.0
0.013229221788424119,-1750,18.0
0.01325005520856337,-1803,-53.0
0.01327088862870262,-1899,-96.0
0.01329172204884187,-1905,-6.0
0.013312555468981122,-1835,70.0
0.013333388889120373,-1840,-5.0
0.013354222309259622,-1976,-136.0
0.013375055729398873,-2174,-198.0
0.013395889149538124,-2328,-154.0
0.013416722569677374,-2407,-79.0
0.013437555989816625,-2487,-80.0
0.013458389409955876,-2579,-92.0
0.013479222830095125,-2566,13.0
0.013500056250234376,-2416,150.0
0.013520889670373628,-2242,174.0
0.013541723090512877,-2147,95.0
0.013562556510652128,-2186,-39.0
0.01358338993079138,-2296,-110.0
0.013604223350930629,-2278,18.0
0.01362505677106988,-2104,174.0
0.013645890191209131,-2006,98.0
0.01366672361134838,-2071,-65.0
0.013687557031487631,-2143,-72.0
0.013708390451626883,-2166,-23.0
0.013729223871766132,-2220,-54.0
0.013750057291905383,-2308,-88.0
0.013770890712044634,-2387,-79.0
0.013791724132183885,-2454,-67.0
0.013812557552323135,-2523,-69.0
0.013833390972462386,-2616,-93.0
0.013854224392601637,-2703,-87.0
0.013875057812740886,-2663,40.0
0.013895891232880138,-2462,201.0
0.013916724653019389,-2274,188.0
0.013937558073158638,-2220,54.0
0.01395839149329789,-2212,8.0
0.01397922491343714,-2170,42.0
0.01400005833357639,-2167,3.0
0.01402089175371564,-2224,-57.0
0.014041725173854892,-2229,-5.0
0.014062558593994141,-2184,45.0
0.014083392014133393,-2230,-46.0
0.014104225434272644,-2341,-111.0
0.014125058854411893,-2302,39.0
0.014145892274551144,-2064,238.0
0.014166725694690395,-1782,282.0
0.014187559114829646,-1551,231.0
0.014208392534968896,-1391,160.0
0.014229225955108147,-1347,44.0
0.014250059375247398,-1398,-51.0
0.014270892795386647,-1450,-52.0
0.014291726215525899,-1480,-30.0
0.01431255963566515,-1514,-34.0
0.014333393055804399,-1550,-36.0
0.01435422647594365,-1604,-54.0
0.014375059896082901,-1688,-84.0
0.01439589331622215,-1769,-81.0
0.014416726736361402,-1825,-56.0
0.014437560156500653,-1859,-34.0
0.014458393576639902,-1870,-11.0
0.014479226996779154,-1886,-16.0
0.014500060416918405,-1910,-24.0
0.014520893837057654,-1870,40.0
0.014541727257196905,-1755,115.0
0.014562560677336156,-1668,87.0
0.014583394097475407,-1645,23.0
0.014604227517614657,-1618,27.0
0.014625060937753908,-1551,67.0
0.014645894357893159,-1476,75.0
0.014666727778032409,-1414,62.0
0.01468756119817166,-1359,55.0
